emp_no,last_name,first_name,gender,to_date,salary
11050,Katiyar,Elvis,M,9999-01-01,52251
11051,Erol,Przemyslawa,F,9999-01-01,40000
11180,Bojadziev,Mitsuyuki,F,9999-01-01,40000
11197,Fordan,Tadahiro,M,9999-01-01,88741
11070,Raney,Adib,M,9999-01-01,40000
11081,Boyle,Barry,M,9999-01-01,65686
11204,Covnot,Diederik,M,9999-01-01,40000
11085,Thummel,Hailing,M,9999-01-01,66437
11207,Gips,Saeed,F,9999-01-01,49728
11208,Valtorta,Saniya,F,9999-01-01,83660
11211,Rissland,Yurij,M,9999-01-01,72668
11217,Mawatari,Kellie,M,9999-01-01,40000
11100,Cochrane,Berna,M,9999-01-01,40000
11232,Crelier,Hidefumi,M,9999-01-01,43863
11106,Iwayama,Aris,F,9999-01-01,71446
11240,Condotta,Kiam,M,9999-01-01,61739
11249,Cyre,Randi,M,9999-01-01,43324
11251,Chinal,Bezalel,M,9999-01-01,69432
11268,Petersohn,Aimee,F,9999-01-01,40000
11319,Marrakchi,Pranas,F,9999-01-01,40000
11320,McAlpine,Atilio,M,9999-01-01,45118
11322,Pocchiola,Nathalie,F,9999-01-01,43021
11324,Billingsley,Kauko,F,9999-01-01,54288
11338,Hanratty,Kwangsub,M,9999-01-01,82210
11339,Massonet,Flemming,M,9999-01-01,40000
11347,Jonsson,Anneli,M,9999-01-01,41524
11365,Shinomoto,Toshimi,M,9999-01-01,56463
11376,Suomi,Valery,M,9999-01-01,46964
11380,Pelc,Kenroku,M,9999-01-01,53345
11385,Ullian,Shiv,M,9999-01-01,40000
11386,Assaf,Alselm,F,9999-01-01,47726
11393,Junot,Junsik,M,9999-01-01,40000
11398,Peir,Oscar,M,9999-01-01,44625
11404,Borovoy,Bedrich,M,9999-01-01,42907
11415,Anido,Sanjiv,M,9999-01-01,40000
11421,Msuda,Josyula,F,9999-01-01,52416
11441,Aingworth,Marlo,M,9999-01-01,67352
11449,Asser,Kotesh,M,9999-01-01,61434
11459,Suomi,Duke,M,9999-01-01,40000
11469,Giaccio,Guttorm,M,9999-01-01,44625
11275,Eppinger,Hitomi,F,9999-01-01,58382
11290,Dredge,Visit,M,9999-01-01,65034
11295,Lanzelotte,Abdelkader,M,9999-01-01,66622
11673,Felder,Henk,F,9999-01-01,40000
11676,Ferriere,Valeri,F,9999-01-01,43310
11506,Picel,Rance,F,9999-01-01,89747
11681,Benzmuller,Fumitake,F,9999-01-01,40000
11684,Gide,Oksana,F,9999-01-01,68753
11509,Feldhoffer,Aleksander,M,9999-01-01,40000
11513,Mahnke,Otmar,M,9999-01-01,82525
11515,Basawa,Ulf,F,9999-01-01,70182
11696,Rothe,Dante,M,9999-01-01,51633
11518,Oxman,Jinxi,M,9999-01-01,40000
11524,Standera,Xiadong,M,9999-01-01,41081
11527,Boyle,Alagu,M,9999-01-01,60212
11528,Dolinsky,Zito,M,9999-01-01,44026
11732,Ranft,Sanjoy,F,9999-01-01,40000
11537,Pehl,DAIDA,M,9999-01-01,96023
11735,Picci,Amalendu,M,9999-01-01,40000
11554,Taubenfeld,Subhash,M,9999-01-01,46065
11555,Perfilyeva,Kotesh,M,9999-01-01,40000
11746,Marrakchi,Koichi,F,9999-01-01,55951
11567,Mitzlaff,Teiji,M,9999-01-01,86261
11568,Fujisaki,Martins,M,9999-01-01,54673
11751,Emiris,Jiafu,M,9999-01-01,40000
11764,Anick,Sanjay,F,9999-01-01,64875
11603,Swen,Herb,F,9999-01-01,69180
11769,Lampe,Chandrasekaran,M,9999-01-01,40000
11607,Foong,Tomokazu,F,9999-01-01,49584
11772,Penz,Gaurav,F,9999-01-01,61295
11615,Isaak,Shem,F,9999-01-01,46591
11797,Thambidurai,Chenxi,M,9999-01-01,88050
11624,Gammage,Adil,M,9999-01-01,42001
11628,Malinowski,Fan,M,9999-01-01,43966
11640,Coorg,Valeri,M,9999-01-01,52520
11647,Nitsche,Magy,M,9999-01-01,40000
11810,Bhattacharjee,Amabile,M,9999-01-01,41256
11817,Markovitch,Niranjan,M,9999-01-01,50638
11660,Stenning,Gill,F,9999-01-01,65758
11832,Zlotek,Arto,M,9999-01-01,40000
11844,Demeyer,Shawna,M,9999-01-01,78049
11853,Kusakabe,Zeljko,F,9999-01-01,61941
11857,Farrag,Divier,F,9999-01-01,94805
12036,Ratzlaff,Mads,M,9999-01-01,67143
11864,Kriebel,Pradeep,F,9999-01-01,52517
11871,Sommen,Nalini,M,9999-01-01,67424
11872,Riexinger,Cheong,M,9999-01-01,43159
12037,Katzenelson,Arunas,M,9999-01-01,47805
12050,Tchuente,Yuchang,F,9999-01-01,46704
12062,Worfolk,Margareta,M,9999-01-01,44199
11894,Validov,Mitchel,M,9999-01-01,56198
11897,Setlzner,Cordelia,M,9999-01-01,80049
12069,Burnard,Ayonca,M,9999-01-01,51928
11906,Boguraev,Hideo,F,9999-01-01,81324
12070,Shokrollahi,Ger,M,9999-01-01,50233
12076,Siprelle,Karlis,F,9999-01-01,75381
11915,Mawatari,Miomir,M,9999-01-01,58042
12082,Yamaashi,Xinan,M,9999-01-01,72118
12089,Socorro,Bilhanan,M,9999-01-01,46288
12099,Kuzuoka,Nobuyoshi,M,9999-01-01,104610
11931,Chiodo,Gunilla,F,9999-01-01,73369
11933,Erman,Basil,M,9999-01-01,56130
12112,Avouris,Satyanarayana,M,9999-01-01,76538
11949,Harbusch,Martijn,M,9999-01-01,40000
12122,Krone,Satoru,F,9999-01-01,46398
12123,Syrzycki,Xiahua,F,9999-01-01,64879
12125,Erman,Shounak,F,9999-01-01,41215
12149,Grandbois,Suebskul,M,9999-01-01,109934
12159,Perly,Shem,M,9999-01-01,61210
11983,Hedayat,Jaana,M,9999-01-01,40000
12165,Maquelin,Xiaobin,F,9999-01-01,41951
12183,Iisaku,Harngdar,M,9999-01-01,40000
11993,Dalphin,Marit,M,9999-01-01,56505
12192,Klyachko,Feiyu,F,9999-01-01,41625
12205,Rossi,Sushant,M,9999-01-01,40000
12011,Coorg,Zhilian,F,9999-01-01,85833
12206,Janetzko,Barton,F,9999-01-01,40000
12218,Strooper,Yaghout,M,9999-01-01,40000
12411,Ibel,Shao,M,9999-01-01,97610
12413,Gadepally,Hugh,F,9999-01-01,53179
12417,Spelt,Dannz,F,9999-01-01,67342
12221,Melter,Vincent,M,9999-01-01,56736
12222,Holburn,Abdelwaheb,F,9999-01-01,55840
12223,Koyama,Niteen,F,9999-01-01,54459
12422,Demos,Berhard,F,9999-01-01,71376
12454,Farris,Kerryn,F,9999-01-01,41347
12247,Penttonen,Subbu,F,9999-01-01,59183
12249,Sadowski,Eldridge,M,9999-01-01,70099
12256,Reghbati,Guadalupe,F,9999-01-01,40000
12464,Milicic,Shai,F,9999-01-01,50448
12264,Pagter,Mart,M,9999-01-01,51816
12270,Kornyak,Shakhar,M,9999-01-01,52840
12475,Roison,Filipe,M,9999-01-01,40000
12272,Grandbois,Behnaam,F,9999-01-01,43811
12487,Reghbati,Mona,F,9999-01-01,40000
12489,Munck,Arnould,F,9999-01-01,63306
12490,Muchinsky,Jackson,F,9999-01-01,40000
12497,Penz,Stein,M,9999-01-01,81191
12308,Cronau,Mototsugu,M,9999-01-01,58741
12501,Matheson,Morrie,F,9999-01-01,76082
12311,Lubachevsky,Susanne,M,9999-01-01,40000
12504,Rosaz,Adly,F,9999-01-01,40000
12514,Melter,Tomofumi,M,9999-01-01,54241
12327,Bruckman,DAIDA,M,9999-01-01,67449
12528,Cincotta,Conor,F,9999-01-01,40000
12341,Luga,Rasiah,M,9999-01-01,40000
12534,Gerlach,Yongmao,M,9999-01-01,66715
12343,Slaats,Sorina,M,9999-01-01,52134
12541,Nanard,Shih,M,9999-01-01,93105
12542,Bouloucos,Kazuhide,F,9999-01-01,44176
12551,Tzvieli,Jeane,M,9999-01-01,40000
12365,Bisiani,Kamakshi,M,9999-01-01,40000
12553,Vesna,Aral,M,9999-01-01,40000
12373,Driscoll,Mooi,F,9999-01-01,75986
12395,Felder,Sanjit,M,9999-01-01,66909
12399,Luga,Mihalis,M,9999-01-01,85582
12596,Roisin,Breannda,M,9999-01-01,40000
12557,Kopetz,Stafford,M,9999-01-01,41840
12601,Simkin,Ghassan,M,9999-01-01,41714
12589,Chleq,Anoosh,M,9999-01-01,59441
12608,Mondadori,Nectarios,M,9999-01-01,40000
12635,Restivo,Xinyu,F,9999-01-01,40000
12638,Seiwald,Yuqun,F,9999-01-01,56677
12790,Perl,Gunilla,F,9999-01-01,87760
12642,Gips,Suebskul,F,9999-01-01,68271
12651,Bael,Pragnesh,M,9999-01-01,75150
12662,Alvarado,Leucio,M,9999-01-01,69016
12663,Stellhorn,Nobuyoshi,M,9999-01-01,49966
12795,Fordan,Masoud,M,9999-01-01,56969
12664,Parveen,Zhonghua,M,9999-01-01,40000
12798,Beeson,Lillian,F,9999-01-01,81145
12803,Boissier,Gad,M,9999-01-01,91789
12815,Junot,Sushant,M,9999-01-01,65073
12819,Gubsky,Mountaz,M,9999-01-01,48455
12848,Smeets,Kazuhide,M,9999-01-01,40000
12689,Boudaillier,Luerbio,M,9999-01-01,59689
12691,Gils,Oddvar,M,9999-01-01,48493
12697,Brizzi,Uri,M,9999-01-01,40000
12709,Botman,Ronghao,M,9999-01-01,45510
12717,Jiafu,Tzu,F,9999-01-01,53194
12863,Matheson,Leif,M,9999-01-01,62803
12722,Cheshire,Elliott,F,9999-01-01,62325
12726,Panwar,Fumitake,M,9999-01-01,61177
12729,Rahier,Nahla,F,9999-01-01,51796
12731,Waymire,Yongmao,F,9999-01-01,40000
12872,Schmittgen,Marl,F,9999-01-01,56040
12732,Takanami,Mara,M,9999-01-01,74436
12734,Frijda,Gil,M,9999-01-01,40000
12879,Eugenio,Baruch,M,9999-01-01,40000
12890,Casley,Neven,F,9999-01-01,66803
12755,Rodite,Rildo,F,9999-01-01,40196
12893,Crouzet,Licheng,M,9999-01-01,50803
12895,Serot,Roddy,M,9999-01-01,40000
12773,Lovengreen,Jenwei,M,9999-01-01,65556
12905,Gecsei,Munehiro,M,9999-01-01,58659
12926,Luby,Heekeun,M,9999-01-01,68314
12977,Markovitch,Byong,M,9999-01-01,61326
12940,Farrar,Odinaldo,F,9999-01-01,49760
12983,Hambrick,Elliott,F,9999-01-01,57252
12941,Perelgut,Tommaso,F,9999-01-01,67069
12949,Asrin,Geoff,F,9999-01-01,40000
13146,Erie,Haldon,M,9999-01-01,61398
13030,Kroll,Yahiko,M,9999-01-01,51770
13046,Stafford,Vivian,M,9999-01-01,40000
13147,Ginesta,Shichao,M,9999-01-01,77429
13047,Chelton,Atilio,M,9999-01-01,52323
13156,Millington,Akeel,M,9999-01-01,48285
13165,Benner,Lucian,F,9999-01-01,42796
13075,Morrin,Rosella,M,9999-01-01,40000
13076,Skafidas,Deniz,F,9999-01-01,50582
13168,Stentiford,Munir,F,9999-01-01,49210
13170,Bernardeschi,Cheong,M,9999-01-01,49012
13171,Birnbaum,Anoosh,M,9999-01-01,40000
13173,Horswill,Arve,M,9999-01-01,46354
13096,Armand,Ibibia,M,9999-01-01,52544
13103,Ellozy,Srinidhi,F,9999-01-01,40000
13179,Janocha,Moty,M,9999-01-01,90233
13182,Rodite,Kokou,M,9999-01-01,46832
13186,Barbanera,Kyoichi,M,9999-01-01,93138
13124,Garnick,Quingbo,F,9999-01-01,73785
13192,Flowers,Rosita,M,9999-01-01,43986
13133,Senzako,Guther,M,9999-01-01,67777
13134,Chepyzhov,Lorien,M,9999-01-01,51227
13202,Scharstein,Aram,F,9999-01-01,51915
13144,Nollmann,Persi,M,9999-01-01,52825
13210,Klassen,Jianhua,M,9999-01-01,83961
13213,Billawala,Hein,M,9999-01-01,61131
13232,Fujisaki,Mitchel,F,9999-01-01,40000
13332,Pearson,Nidapan,F,9999-01-01,40000
13333,Hennebert,Yoshinari,M,9999-01-01,50997
13341,Doering,Bodh,F,9999-01-01,40000
13343,Usery,Heon,M,9999-01-01,40000
13233,Chvatal,Alselm,M,9999-01-01,49414
13238,Foote,Ebru,F,9999-01-01,40000
13240,Pileggi,King,M,9999-01-01,49018
13250,Schusler,Zeydy,M,9999-01-01,47829
13368,Klassen,Kiyokazu,M,9999-01-01,52872
13371,Riexinger,Nakhoon,F,9999-01-01,40000
13373,Naumovich,Juichirou,M,9999-01-01,82749
13272,Jiang,Arun,F,9999-01-01,40000
13385,Buchter,Claudi,M,9999-01-01,40000
13386,Sgarro,Khosrow,F,9999-01-01,91420
13389,Cmelik,Divine,F,9999-01-01,40000
13392,Beidas,Fumitake,F,9999-01-01,69221
13396,Aumann,Chuanyi,F,9999-01-01,40000
13402,Dulli,Augustine,M,9999-01-01,40000
13276,Seuren,Yechiam,M,9999-01-01,65836
13405,Baba,Randy,F,9999-01-01,60799
13407,Chenoweth,Gio,M,9999-01-01,60348
13408,Lagarias,Sreekrishna,M,9999-01-01,52479
13288,Broomell,Muneo,F,9999-01-01,40000
13415,Speer,Nathalie,F,9999-01-01,61838
13422,Gerlach,Vishwani,F,9999-01-01,59466
13291,Stamatiou,Georg,M,9999-01-01,54720
13302,Alencar,Mack,F,9999-01-01,40000
13442,Miake,Giordano,M,9999-01-01,40000
13443,Puppo,Mayuko,M,9999-01-01,40000
13445,Dehkordi,Renee,M,9999-01-01,53194
13315,Stroustrup,Sakthirel,F,9999-01-01,40000
13451,Weiland,Gretta,M,9999-01-01,40000
13457,Parfitt,Shooichi,M,9999-01-01,40812
13458,Nivat,Feipei,F,9999-01-01,41375
13463,Berstel,Theron,F,9999-01-01,40000
13465,Rehfuss,Sasan,M,9999-01-01,49821
13524,Porotnikoff,Chaoyi,F,9999-01-01,52849
13493,Jullig,Uinam,F,9999-01-01,40000
13535,Schlenzig,Arunas,F,9999-01-01,40000
13504,Mandell,Parto,F,9999-01-01,41895
13546,Brookner,Aimee,F,9999-01-01,50295
13549,Koprowski,Matk,M,9999-01-01,40000
13704,Kumaresan,Vishu,F,9999-01-01,40000
13552,Capobianchi,Ingmar,M,9999-01-01,73346
13576,Engberts,Jungsoon,F,9999-01-01,73022
13721,Delgrossi,Sugwoo,F,9999-01-01,64754
13727,Merey,Vitali,M,9999-01-01,50798
13605,Encarnacion,Dmitry,F,9999-01-01,70404
13738,Mitchem,Bangqing,F,9999-01-01,48349
13621,Haddadi,Fei,M,9999-01-01,73192
13766,Heemskerk,Tremaine,M,9999-01-01,43748
13769,Trogemann,Yakichi,F,9999-01-01,61025
13775,Maierhofer,Arve,M,9999-01-01,70161
13624,Yurek,Zhigen,M,9999-01-01,40000
13786,Berendt,Takushi,F,9999-01-01,74494
13787,Sinicrope,Xiaobin,F,9999-01-01,40000
13629,Trelles,Dzung,M,9999-01-01,40000
13792,Sury,Valery,M,9999-01-01,59127
13796,Thorelli,Paloma,M,9999-01-01,50962
13809,Basagni,Kiyotoshi,M,9999-01-01,43735
13815,Plotkin,Guadalupe,M,9999-01-01,40000
13825,Pell,Arlette,M,9999-01-01,54704
13841,Spinelli,Christophe,M,9999-01-01,52277
13842,Cichocki,Juichirou,F,9999-01-01,40000
13846,Welham,Guiseppe,M,9999-01-01,61097
13853,Roohalamini,Mingsen,M,9999-01-01,61615
13859,Fujisawa,Anoosh,M,9999-01-01,40000
13884,Swift,Kensei,M,9999-01-01,44785
13894,Schonegge,Ult,F,9999-01-01,48958
13904,Cairo,Youngkon,M,9999-01-01,73885
13934,Bratsberg,Shiv,F,9999-01-01,46507
13942,Esteva,Elzbieta,M,9999-01-01,40000
13951,Genther,Mooi,F,9999-01-01,82054
13960,Hettesheimer,Nechama,M,9999-01-01,43204
13962,Ghelli,Maris,M,9999-01-01,67965
13966,Cooman,Boguslaw,F,9999-01-01,40000
13969,Chandrasekhar,Jianwen,F,9999-01-01,60392
13990,Schapiro,Deborah,F,9999-01-01,52723
13992,Kenevan,Ulises,M,9999-01-01,81318
13648,Lamba,Zejun,F,9999-01-01,47723
13999,Crouzet,Florian,M,9999-01-01,40000
14005,Stellhorn,Vojin,M,9999-01-01,40000
14015,Picaronny,Manibrata,M,9999-01-01,63084
13653,Iivonen,Kristen,M,9999-01-01,53242
13670,Takanami,Moti,F,9999-01-01,40000
14034,Seghrouchni,Aloys,M,9999-01-01,69700
14041,DeMori,Shan,F,9999-01-01,63235
13680,Speer,Denny,M,9999-01-01,46968
13685,Hockney,Weicheng,F,9999-01-01,48322
14067,Trachtenberg,Godehard,M,9999-01-01,44669
13697,Weedon,Shuichi,M,9999-01-01,40000
14257,Massonet,Kwok,F,9999-01-01,40000
14290,Olivero,Miyeon,M,9999-01-01,78736
14088,Leslie,Mori,M,9999-01-01,44821
14107,Rindone,Xiahua,M,9999-01-01,82396
14292,Vigier,Susanna,F,9999-01-01,41846
14111,Cummings,Leszek,F,9999-01-01,52696
14298,Granlund,Chriss,F,9999-01-01,40000
14118,Anido,Kasturi,M,9999-01-01,46248
14310,Leuchs,Marlo,M,9999-01-01,40000
14320,Schaar,Sreenivas,M,9999-01-01,40000
14322,Kakkad,Shem,M,9999-01-01,50363
14323,Leslie,Golgen,F,9999-01-01,40000
14340,Wixon,Vitaly,M,9999-01-01,42858
14167,Hertweck,Adas,F,9999-01-01,40000
14344,Buescher,Otilia,F,9999-01-01,41979
14354,Bojadziev,Mong,M,9999-01-01,40000
14191,Luby,Jiann,F,9999-01-01,40155
14360,Erbe,Janche,M,9999-01-01,43476
14209,Kusakabe,Masanao,F,9999-01-01,40000
14372,Srimani,Saniya,F,9999-01-01,57667
14220,Pargas,Tomofumi,F,9999-01-01,68017
14384,Holburn,Tomofumi,F,9999-01-01,58260
14232,Bojadziev,Masali,M,9999-01-01,50568
14236,Angiulli,Xuedong,F,9999-01-01,40000
14237,Gerlach,Abdulla,F,9999-01-01,57219
14422,Gadepally,Toshimo,M,9999-01-01,59001
14242,Benaini,Sudhanshu,F,9999-01-01,40000
14434,Maginnis,Elvis,M,9999-01-01,40000
14439,Woycyznski,Raimond,M,9999-01-01,80654
14460,Lueh,Yagil,F,9999-01-01,56267
14632,McClurg,Gudjon,M,9999-01-01,40000
14478,Boissier,Munehiro,F,9999-01-01,40000
14481,Lammel,Moti,M,9999-01-01,40000
14483,Marrevee,Supot,M,9999-01-01,40000
14486,Birdsall,Indrajit,M,9999-01-01,40000
14639,Hempstead,Arvind,F,9999-01-01,79405
14498,Selenyi,Xiong,M,9999-01-01,40000
14501,Kroft,Taizo,M,9999-01-01,63646
14640,Kornatzky,Toshimori,M,9999-01-01,42662
14509,Aloia,Danil,M,9999-01-01,40000
14513,Barreiro,Samphel,M,9999-01-01,83273
14515,Versino,Kazuhisa,F,9999-01-01,61645
14516,Underwood,Kristian,F,9999-01-01,73262
14642,Kuhnemann,Florian,F,9999-01-01,54553
14518,Peir,Patricia,M,9999-01-01,64238
14522,Ranta,Chuanyi,F,9999-01-01,40000
14645,Glinert,Laurentiu,F,9999-01-01,45647
14648,Lorys,IEEE,M,9999-01-01,89209
14537,Engelmann,Babette,F,9999-01-01,48332
14659,Adachi,Sashi,F,9999-01-01,40926
14552,Snyers,Ibibia,M,9999-01-01,40000
14675,Angel,Teunis,F,9999-01-01,40000
14556,Zultner,Fatemeh,M,9999-01-01,40000
14560,Driscoll,Elrique,M,9999-01-01,62770
14677,Sifakis,Herbert,M,9999-01-01,40000
14683,Basart,Alois,M,9999-01-01,41107
14581,Condotta,Gao,F,9999-01-01,59499
14582,Morrin,Kiyokazu,M,9999-01-01,40000
14690,Bellone,Yechezkel,F,9999-01-01,40000
14600,Cairo,Jayson,F,9999-01-01,41352
14603,Marquardt,Lech,M,9999-01-01,55369
14693,Stranks,Brewster,F,9999-01-01,59960
14607,Selvestrel,Suzette,M,9999-01-01,67813
14710,Hainaut,Mahmut,F,9999-01-01,40341
14620,Erev,Jianhua,F,9999-01-01,53303
14621,Wixon,Souichi,F,9999-01-01,66404
14723,Assaf,Constantino,M,9999-01-01,40000
14724,Lemarechal,Aron,M,9999-01-01,66530
14814,Nishimukai,Odysseas,M,9999-01-01,40000
14780,Bruckman,Marlo,F,9999-01-01,51232
14817,Masaki,Gaurav,M,9999-01-01,41203
14821,Kilgore,Oguz,M,9999-01-01,42545
14839,Cronin,Changho,M,9999-01-01,40000
14853,Nergos,Taiji,F,9999-01-01,58311
14785,Kaiser,Zhonghua,M,9999-01-01,46936
14877,Meriste,Arto,M,9999-01-01,40000
14879,Sigstam,Anyuan,M,9999-01-01,54322
14793,Uchoa,Stein,M,9999-01-01,47045
14888,Barriga,Temple,F,9999-01-01,60916
14899,Casley,Alejandro,M,9999-01-01,64365
15005,Sadowsky,Kiam,M,9999-01-01,50368
14906,Parveen,Adil,F,9999-01-01,54758
14908,Flanders,Kerhong,F,9999-01-01,40000
14909,Kamble,Mohan,M,9999-01-01,40000
14911,Chelton,Xiaobin,F,9999-01-01,62738
14914,Benzaken,Gretta,F,9999-01-01,40000
14915,Picco,Huican,M,9999-01-01,40733
14923,Gyorkos,Shuzo,M,9999-01-01,40000
14928,Mukaidono,Satoru,F,9999-01-01,53377
14941,Lichtner,Nathan,M,9999-01-01,43608
14942,Benveniste,Heon,M,9999-01-01,40000
14949,Reinhart,Insup,F,9999-01-01,44930
14954,Magliocco,Fox,F,9999-01-01,43510
15016,Gulik,Woody,F,9999-01-01,40000
14971,Simmen,Fan,M,9999-01-01,55187
15018,Prenel,Ramalingam,F,9999-01-01,40668
15019,Shokrollahi,Qingxiang,F,9999-01-01,41721
14983,Pouyioutas,Hyuckchul,M,9999-01-01,86754
15029,Koshino,Giordano,M,9999-01-01,40000
14993,Koblitz,Sanjay,M,9999-01-01,45407
15030,Nourani,Rasikan,M,9999-01-01,40000
15036,Delgrande,Ziva,M,9999-01-01,40000
15193,Schach,Neelam,M,9999-01-01,47039
15196,Duclos,Souichi,M,9999-01-01,55824
15202,Irland,Pranay,M,9999-01-01,40000
